Practice Name,Address,Phone,Website
Balwyn Dental Practice,"624 Whitehorse Road, BALWYN VIC 3103",(03) 9836-3112,https://www.dentist.com.au/dentist-detail/vic/balwyn/balwyn-dental-practice/A24019569
iSmile Studio Dental,"1/1090 Belmore Road, BALWYN VIC 3103",(03) 9888-5677,https://www.dentist.com.au/dentist-detail/vic/balwyn/ismile-studio-dental/A11003545
Mont Albert Dental Surgery,"30 High Street, MONT ALBERT VIC 3127",(03) 9898-1111,https://www.dentist.com.au/dentist-detail/vic/mont-albert/mont-albert-dental-surgery/A24019503
City Family Dental Care,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/city-family-dental-care/A11003152
Dentist On Collins,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/dentist-on-collins/A11003184
Melbourne Dentist,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/melbourne-dentist/A11001238
Art De Dente,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/art-de-dente/A11003422
Verve Dental Collins Street,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/verve-dental-collins-street/A11003170
Dental Health Care Associates,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/dental-health-care-associates/A11003113
Collins Precision Dental,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/collins-precision-dental/A11003165
Q1 Dental,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/q1-dental/A11002479
Melbourne Dentistry,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/melbourne-dentistry/A16014080
Smile Solutions,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/smile-solutions/A11005307
Oral Surgery Clinics,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/oral-surgery-clinics/A22017578
Melbourne Oral and Maxillofacial Surgery,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/melbourne-oral-and-maxillofacial-surgery/A22018208
Dental on Flinders,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/dental-on-flinders/A14012734
Family Dental on Collins,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/family-dental-on-collins/A15013351
National Dental Care Spring Street,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/national-dental-care-spring-street/A11001365
BlueSpa Dental,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/bluespa-dental/A11000501
Teachers Dental,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/teachers-dental/A14012009
Enhance Dental,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/enhance-dental/A11002875
Dr Philip Papa Dental Surgery,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/dr-philip-papa-dental-surgery/A11003008
Gorgeous Smiles Dentistry,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/gorgeous-smiles-dentistry/A18015414
Dr Adeline Chong - Periodontist,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/dr-adeline-chong---periodontist/A11003138
Periodontal Associates,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/periodontal-associates/A14012354
Oral and Maxillofacial Surgeons,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/oral-and-maxillofacial-surgeons/A11003151
Ewan Jones Dental,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/ewan-jones-dental/A14011945
The Alfred,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/the-alfred/A16014202
Oral Maxofacial Surgery Group,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/oral-maxofacial-surgery-group/A16014165
Dr David Brown and Dr Stephanie Karevski,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/dr-david-brown-and-dr-stephanie-karevski/A11003123
Melbourne Dentist Clinic,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/melbourne-dentist-clinic/A11003183
Endodontic Associates,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/endodontic-associates/A11005041
The Warm Smile,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/the-warm-smile/A23018904
Melbourne Dental Family Care,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/melbourne-dental-family-care/A11003173
Dental Advance,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/dental-advance/A11000433
MC Dental,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/mc-dental/A14011971
Finesse Dentists,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/finesse-dentists/A22017655
Collins Street Periodontics,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/collins-street-periodontics/A11006535
Smile & Co.,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/smile-and-co/A11000884
Vogue Smiles Melbourne,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/vogue-smiles-melbourne/A11003100
Periodontist,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/periodontist/A11003105
Women In Dentistry,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/women-in-dentistry/A13011730
Oral and Maxillofacial Surgeons,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/oral-and-maxillofacial-surgeons/A11006085
Leila Zamani Dental Practice,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/leila-zamani-dental-practice/A14011946
Aspire One Dental,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/aspire-one-dental/A16014299
Complete Dental Care,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/complete-dental-care/A11006103
Pacific Smiles Dental Melbourne CBD,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/pacific-smiles-dental-melbourne-cbd/A11010358
Prosthodontic Group,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/prosthodontic-group/A11003166
Dr Peter Scott's Orthodontic Surgery,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/dr-peter-scotts-orthodontic-surgery/A11003114
Dr Chris Eldridge Dental Surgery,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/dr-chris-eldridge-dental-surgery/A11003121
Dr Pamela Craig Dental Surgery,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/dr-pamela-craig-dental-surgery/A14012632
Collins Street Dental,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/collins-street-dental/A11003159
JA Vochala Dental Rooms,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/ja-vochala-dental-rooms/A17014544
City Dental Care,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/city-dental-care/A24019465
Dr Stella Lee - Orthodontist,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/dr-stella-lee---orthodontist/A11003186
Periodontists,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/periodontists/A11003475
QV Dental,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/qv-dental/A11006098
Manchester Unity Dental Centre,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/manchester-unity-dental-centre/A11003179
Stellar Dental,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/stellar-dental/A11003144
Oral and Maxillofacial Surgeon,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/oral-and-maxillofacial-surgeon/A11006111
Teeth Health Life,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/teeth-health-life/A11003139
Metro Dental Melbourne,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/metro-dental-melbourne/A18014881
Holistic Dental Melbourne CBD,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/holistic-dental-melbourne-cbd/A11006093
Dr Cross and Thavarajah Dental Surgery,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/dr-cross-and-thavarajah-dental-surgery/A11003169
Dr Nicholas Palfreyman Prosthodontist,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/dr-nicholas-palfreyman-prosthodontist/A21016616
Dr Waleed Saleh Dental Surgeon,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/dr-waleed-saleh-dental-surgeon/A11003098
Melbourne Dental Group,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/melbourne-dental-group/A11003157
d-spa,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/d-spa/A13011566
Dr Luk Dental Surgery,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/dr-luk-dental-surgery/A11003134
Dr Paulo Pinho,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/dr-paulo-pinho/A11006533
The Melbourne Pain Management Clinic,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/the-melbourne-pain-management-clinic/A11000247
Kurrajong Dentists,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/kurrajong-dentists/A11003119
Dr Sara Byrne - Periodontist,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/dr-sara-byrne---periodontist/A11003124
Ladakis Dental,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/ladakis-dental/A11003147
d-spa,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/d-spa/A11000479
Parkview Dental,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/parkview-dental/A14011905
Endodontists on Collins,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/endodontists-on-collins/A11002915
OralMax Surgeons,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/oralmax-surgeons/A16013893
Dr Richard Robinson Dental Surgery,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/dr-richard-robinson-dental-surgery/A14012013
Oral and Maxillofacial Surgery,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/oral-and-maxillofacial-surgery/A11003110
Birdseye Dental Group,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/birdseye-dental-group/A11006096
Dr Robin Joseph - Dentist,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/dr-robin-joseph---dentist/A11003167
Dimos Dental & Facial Aesthetics,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/dimos-dental-and-facial-aesthetics/A11005506
NIB Melbourne Dental Care Centre,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/nib-melbourne-dental-care-centre/A11002588
Excellence in Dentistry,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/excellence-in-dentistry/A11003160
City Smiles,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/city-smiles/A11005508
Dr MK Choy Dental,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/dr-mk-choy-dental/A11003187
L&L Orthodontics,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/l-and-l-orthodontics/A11006491
Alcaston Dental Care,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/alcaston-dental-care/A11006112
Dr Christopher Murray Dental Surgery,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/dr-christopher-murray-dental-surgery/A11003117
Peter Allan - Oral and Maxillofacial Surgeon,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/peter-allan---oral-and-maxillofacial-surgeon/A11001213
Collins St Dental Aesthetics,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/collins-st-dental-aesthetics/A11003122
Dr Chris Hart Prosthodontist,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/dr-chris-hart-prosthodontist/A11003436
Dentist James Peter,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/dentist-james-peter/A11003108
Prosthodontic Associates,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/prosthodontic-associates/A11001286
Collins Dental Image,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/collins-dental-image/A11000232
Michael Hase Oral and Maxillofacial Surgeon,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/michael-hase-oral-and-maxillofacial-surgeon/A11006102
SleepWise Melbourne Sleep Clinic,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/sleepwise-melbourne-sleep-clinic/A12010613
HCF Melbourne Dental Centre,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/hcf-melbourne-dental-centre/A20016169
Maven Dental Collins Street,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/maven-dental-collins-street/A11000638
Bupa Dental - Bourke Street,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/bupa-dental---bourke-street/A16013925
Melbourne Periodontal Group,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/melbourne-periodontal-group/A11003120
White Light Prosthodontics,,,https://www.dentist.com.au/dentist-detail/vic/melbourne/white-light-prosthodontics/A18014815
Balyang Dental,,,https://www.dentist.com.au/dentist-detail/vic/newtown/balyang-dental/A25020042
Happy Dental,,,https://www.dentist.com.au/dentist-detail/vic/geelong-west/happy-dental/A11010348
Highton Dental Centre,,,https://www.dentist.com.au/dentist-detail/vic/highton/highton-dental-centre/A19015798
Dentists & Doctors,,,https://www.dentist.com.au/dentist-detail/vic/geelong/dentists-and-doctors/A19015603
All Smiles Dental,,,https://www.dentist.com.au/dentist-detail/vic/geelong/all-smiles-dental/A14012776
Ailin Teo Dental Surgery,,,https://www.dentist.com.au/dentist-detail/vic/geelong/ailin-teo-dental-surgery/A11002778
Totally Smiles Geelong,,,https://www.dentist.com.au/dentist-detail/vic/geelong/totally-smiles-geelong/A11003600
Geelong Oral and Maxillofacial Surgery,,,https://www.dentist.com.au/dentist-detail/vic/geelong/geelong-oral-and-maxillofacial-surgery/A11005957
Kardinia Dental,,,https://www.dentist.com.au/dentist-detail/vic/geelong/kardinia-dental/A11003597
Aesthetik Dental,,,https://www.dentist.com.au/dentist-detail/vic/geelong/aesthetik-dental/A23019010
Dentalspa Geelong,,,https://www.dentist.com.au/dentist-detail/vic/geelong/dentalspa-geelong/A11000791
Geelong Dental and Implant Centre,,,https://www.dentist.com.au/dentist-detail/vic/geelong/geelong-dental-and-implant-centre/A12010908
Myers Street Dental Clinic,,,https://www.dentist.com.au/dentist-detail/vic/geelong/myers-street-dental-clinic/A11003590
Nova Dental Implant Centre,,,https://www.dentist.com.au/dentist-detail/vic/geelong/nova-dental-implant-centre/A25020197
Geelong Orthodontics,,,https://www.dentist.com.au/dentist-detail/vic/geelong/geelong-orthodontics/A11005865
Specialist Surgicentre,,,https://www.dentist.com.au/dentist-detail/vic/geelong/specialist-surgicentre/A20016398
Wyatt Ryan Dental Surgeons,,,https://www.dentist.com.au/dentist-detail/vic/geelong/wyatt-ryan-dental-surgeons/A11001220
Garden Street Dental,,,https://www.dentist.com.au/dentist-detail/vic/geelong/garden-street-dental/A11009722
GMHBA Dental Care Geelong,,,https://www.dentist.com.au/dentist-detail/vic/geelong/gmhba-dental-care-geelong/A11003596
Smile Care Dentists,,,https://www.dentist.com.au/dentist-detail/vic/geelong/smile-care-dentists/A15013449
Geelong Periodontics & Dental Implants,,,https://www.dentist.com.au/dentist-detail/vic/geelong/geelong-periodontics-and-dental-implants/A11003591
Geelong Smile Studio,,,https://www.dentist.com.au/dentist-detail/vic/geelong/national-dental-care---geelong-smile-studio/A11002737
Southern Dental Specialists,,,https://www.dentist.com.au/dentist-detail/vic/geelong/southern-dental-specialists/A11004264
CBD Dental Ballarat,,,https://www.dentist.com.au/dentist-detail/vic/ballarat-central/cbd-dental-ballarat/A18015489
Creswick Dental Centre,,,https://www.dentist.com.au/dentist-detail/vic/creswick/creswick-dental-centre/A15013046
Ballan Family Dental,,,https://www.dentist.com.au/dentist-detail/vic/ballan/ballan-family-dental/A25020107
Raglan Dental,,,https://www.dentist.com.au/dentist-detail/vic/ballarat/raglan-dental/A11003628
Alfredton Dental,,,https://www.dentist.com.au/dentist-detail/vic/ballarat/alfredton-dental/A11010353
Dental on Errand,,,https://www.dentist.com.au/dentist-detail/vic/ballarat/dental-on-errand/A14012065
Lydiard North Dental Practice,,,https://www.dentist.com.au/dentist-detail/vic/ballarat/lydiard-north-dental-practice/A11003629
Dr Didaskalu's Dental Practice,,,https://www.dentist.com.au/dentist-detail/vic/ballarat/dr-didaskalus-dental-practice/A11001932
Dr Graeme Fowler - Oral Surgery,,,https://www.dentist.com.au/dentist-detail/vic/ballarat/dr-graeme-fowler---oral-surgery/A11005825
Dana Street Dental,,,https://www.dentist.com.au/dentist-detail/vic/ballarat/dana-street-dental/A15013307
Lydiard Street Dental Clinic,,,https://www.dentist.com.au/dentist-detail/vic/ballarat/lydiard-street-dental-clinic/A11003624
Ballarat Dentist Dr Don Anderson,,,https://www.dentist.com.au/dentist-detail/vic/ballarat/ballarat-dentist-dr-don-anderson/A11003631
Ballarat Health Services - Dental Clinic,,,https://www.dentist.com.au/dentist-detail/vic/ballarat/ballarat-health-services---dental-clinic/A14012056
SmileWorks Dental Ballarat,,,https://www.dentist.com.au/dentist-detail/vic/ballarat/smileworks-dental-ballarat/A11002827
Primary Dental Ballarat,,,https://www.dentist.com.au/dentist-detail/vic/ballarat/primary-dental-ballarat/A11002337
Fixed Teeth Australia,,,https://www.dentist.com.au/dentist-detail/vic/ballarat/fixed-teeth-australia/A12010665
Ballarat Orthodontic Practice,,,https://www.dentist.com.au/dentist-detail/vic/ballarat/ballarat-orthodontic-practice/A11003633
Potter Dental,,,https://www.dentist.com.au/dentist-detail/vic/ballarat/potter-dental/A11002486
Ashmore Dentistry,,,https://www.dentist.com.au/dentist-detail/vic/ballarat/ashmore-dentistry/A11003623
Orthodontist,,,https://www.dentist.com.au/dentist-detail/vic/ballarat/orthodontist/A11006534
Ballarat Dental Group,,,https://www.dentist.com.au/dentist-detail/vic/ballarat/ballarat-dental-group/A11003626
Bakery Hill Dental,,,https://www.dentist.com.au/dentist-detail/vic/bakery-hill/bakery-hill-dental/A11000371
Dr Virginia Williams Dental Practice,,,https://www.dentist.com.au/dentist-detail/vic/ballarat-central/dr-virginia-williams-dental-practice/A11003627
Whitehills Dental Practice,,,https://www.dentist.com.au/dentist-detail/vic/white-hills/whitehills-dental-practice/A24019533
Castlemaine Smiles Dentist,,,https://www.dentist.com.au/dentist-detail/vic/castlemaine/castlemaine-smiles-dentist/A11003677
